ID,PIN,Signal,Signal,Probe
TP201:,    Pin:1, Signal:L1_1, Orig_Signal:L1-1, Probed
TP228:,    Pin:1, Signal:L1_3, Orig_Signal:L1-3, Probed
TP226:,    Pin:1, Signal:NetD201_K, Orig_Signal:NetD201_K, NotProbed
TP214:,    Pin:1, Signal:CP, Orig_Signal:CP, Probed
TP511:,    Pin:1, Signal:NetFB502_1, Orig_Signal:NetFB502_1, Probed
TP406:,    Pin:1, Signal:NetC403_2, Orig_Signal:NetC403_2, NotProbed
TP405:,    Pin:1, Signal:NetD401_CAT, Orig_Signal:NetD401_CAT, NotProbed
TP512:,    Pin:1, Signal:NetC503_2, Orig_Signal:NetC503_2, NotProbed
TP509:,    Pin:1, Signal:NetFB501_1, Orig_Signal:NetFB501_1, Probed
TP507:,    Pin:1, Signal:NetC502_2, Orig_Signal:NetC502_2, NotProbed
TP314:,    Pin:1, Signal:SWDIO, Orig_Signal:SWDIO, NotProbed
TP313:,    Pin:1, Signal:NRST, Orig_Signal:NRST, Probed
TP303:,    Pin:1, Signal:NetJ301_2, Orig_Signal:NetJ301_2, Probed
TP302:,    Pin:1, Signal:NetC303_2, Orig_Signal:NetC303_2, NotProbed
TP312:,    Pin:1, Signal:NetLD302_AN, Orig_Signal:NetLD302_AN, Probed
TP311:,    Pin:1, Signal:NetLD301_AN, Orig_Signal:NetLD301_AN, Probed
TP310:,    Pin:1, Signal:NetC309_1, Orig_Signal:NetC309_1, NotProbed
TP308:,    Pin:1, Signal:NetJ302_5, Orig_Signal:NetJ302_5, Probed
TP306:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed
TP305:,    Pin:1, Signal:NetJ301_4, Orig_Signal:NetJ301_4, Probed
TP304:,    Pin:1, Signal:NetJ301_3, Orig_Signal:NetJ301_3, Probed
TP221:,    Pin:1, Signal:RS485B, Orig_Signal:RS485B, Probed
TP220:,    Pin:1, Signal:RS485A, Orig_Signal:RS485A, Probed
TP219:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
TP218:,    Pin:1, Signal:CANH, Orig_Signal:CANH, Probed
TP217:,    Pin:1, Signal:CANL, Orig_Signal:CANL, Probed
TP211:,    Pin:1, Signal:NetF201_1, Orig_Signal:NetF201_1, NotProbed
TP209:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
TP208:,    Pin:1, Signal:L2_N_3, Orig_Signal:L2/N-3, NotProbed
TP205:,    Pin:1, Signal:L1_4, Orig_Signal:L1-4, NotProbed
TP606:,    Pin:1, Signal:P12V, Orig_Signal:+12V, Probed
TP524:,    Pin:1, Signal:L1_CS, Orig_Signal:L1_CS, Probed
TP210:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
TP115:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed
TP114:,    Pin:1, Signal:NetP101_18, Orig_Signal:NetP101_18, Probed
TP113:,    Pin:1, Signal:NetP101_23, Orig_Signal:NetP101_23, Probed
TP112:,    Pin:1, Signal:NetP101_28, Orig_Signal:NetP101_28, Probed
TP111:,    Pin:1, Signal:NetP101_14, Orig_Signal:NetP101_14, Probed
TP110:,    Pin:1, Signal:NetP101_26, Orig_Signal:NetP101_26, Probed
TP109:,    Pin:1, Signal:NetP101_25, Orig_Signal:NetP101_25, Probed
TP108:,    Pin:1, Signal:NetP101_22, Orig_Signal:NetP101_22, Probed
TP107:,    Pin:1, Signal:NetP101_21, Orig_Signal:NetP101_21, Probed
TP106:,    Pin:1, Signal:NetP101_12, Orig_Signal:NetP101_12, Probed
TP105:,    Pin:1, Signal:NetP101_11, Orig_Signal:NetP101_11, Probed
TP103:,    Pin:1, Signal:NetP101_9, Orig_Signal:NetP101_9, Probed
TP102:,    Pin:1, Signal:NetP101_5, Orig_Signal:NetP101_5, Probed
TP101:,    Pin:1, Signal:NetP101_35, Orig_Signal:NetP101_35, Probed
TP116:,    Pin:1, Signal:NetFB101_1, Orig_Signal:NetFB101_1, Probed
TP607:,    Pin:1, Signal:P12V, Orig_Signal:+12V, Probed
TP525:,    Pin:1, Signal:NetC518_1, Orig_Signal:NetC518_1, NotProbed
TP222:,    Pin:1, Signal:NetR202_1, Orig_Signal:NetR202_1, Probed
TP616:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed
TP615:,    Pin:1, Signal:1_8V, Orig_Signal:1.8V, Probed
TP614:,    Pin:1, Signal:5V, Orig_Signal:5V, Probed
TP613:,    Pin:1, Signal:12V_A, Orig_Signal:12V_A, NotProbed
TP612:,    Pin:1, Signal:NetC602_1, Orig_Signal:NetC602_1, Probed
TP604:,    Pin:1, Signal:NetC602_2, Orig_Signal:NetC602_2, Probed
TP538:,    Pin:1, Signal:NetQ504_G, Orig_Signal:NetQ504_G, Probed
TP537:,    Pin:1, Signal:NetQ504_D, Orig_Signal:NetQ504_D, Probed
TP536:,    Pin:1, Signal:NetC511_2, Orig_Signal:NetC511_2, NotProbed
TP535:,    Pin:1, Signal:NetD510_K, Orig_Signal:NetD510_K, NotProbed
TP534:,    Pin:1, Signal:TEMP1, Orig_Signal:TEMP1, Probed
TP533:,    Pin:1, Signal:ID2, Orig_Signal:ID2, Probed
TP532:,    Pin:1, Signal:ID1, Orig_Signal:ID1, Probed
TP531:,    Pin:1, Signal:NetQ503_G, Orig_Signal:NetQ503_G, Probed
TP530:,    Pin:1, Signal:NetD511_K, Orig_Signal:NetD511_K, Probed
TP529:,    Pin:1, Signal:NetD508_K, Orig_Signal:NetD508_K, NotProbed
TP528:,    Pin:1, Signal:NetQ503_D, Orig_Signal:NetQ503_D, Probed
TP527:,    Pin:1, Signal:5V, Orig_Signal:5V, Probed
TP526:,    Pin:1, Signal:NetQ502_D, Orig_Signal:NetQ502_D, Probed
TP523:,    Pin:1, Signal:NetC506_2, Orig_Signal:NetC506_2, NotProbed
TP522:,    Pin:1, Signal:NetD506_K, Orig_Signal:NetD506_K, NotProbed
TP521:,    Pin:1, Signal:NetD507_K, Orig_Signal:NetD507_K, NotProbed
TP520:,    Pin:1, Signal:NetD504_K, Orig_Signal:NetD504_K, NotProbed
TP519:,    Pin:1, Signal:NetQ501_D, Orig_Signal:NetQ501_D, Probed
TP518:,    Pin:1, Signal:VOLT_MEAS, Orig_Signal:VOLT_MEAS, Probed
TP517:,    Pin:1, Signal:NetR518_2, Orig_Signal:NetR518_2, NotProbed
TP516:,    Pin:1, Signal:NetR517_1, Orig_Signal:NetR517_1, NotProbed
TP515:,    Pin:1, Signal:NetR517_2, Orig_Signal:NetR517_2, NotProbed
TP514:,    Pin:1, Signal:NetC504_2, Orig_Signal:NetC504_2, NotProbed
TP513:,    Pin:1, Signal:NetFB502_2, Orig_Signal:NetFB502_2, Probed
TP508:,    Pin:1, Signal:NetC502_1, Orig_Signal:NetC502_1, NotProbed
TP506:,    Pin:1, Signal:NetR504_1, Orig_Signal:NetR504_1, Probed
TP505:,    Pin:1, Signal:NetR503_1, Orig_Signal:NetR503_1, Probed
TP504:,    Pin:1, Signal:NetR502_1, Orig_Signal:NetR502_1, Probed
TP503:,    Pin:1, Signal:NetR502_2, Orig_Signal:NetR502_2, Probed
TP502:,    Pin:1, Signal:NetFB501_2, Orig_Signal:NetFB501_2, Probed
TP501:,    Pin:1, Signal:NetC501_2, Orig_Signal:NetC501_2, NotProbed
TP424:,    Pin:1, Signal:RELAY_CTRL_1, Orig_Signal:RELAY_CTRL_1, Probed
TP423:,    Pin:1, Signal:NetQ403_G, Orig_Signal:NetQ403_G, Probed
TP404:,    Pin:1, Signal:NetQ402_G, Orig_Signal:NetQ402_G, Probed
TP403:,    Pin:1, Signal:RELAY_CTRL_2, Orig_Signal:RELAY_CTRL_2, NotProbed
TP402:,    Pin:1, Signal:NetQ402_D, Orig_Signal:NetQ402_D, Probed
TP401:,    Pin:1, Signal:NetQ401_G, Orig_Signal:NetQ401_G, Probed
TP330:,    Pin:1, Signal:NetR318_2, Orig_Signal:NetR318_2, Probed
TP329:,    Pin:1, Signal:STM_RX_TMS_TX, Orig_Signal:STM_RX-TMS_TX, Probed
TP328:,    Pin:1, Signal:NetR317_2, Orig_Signal:NetR317_2, Probed
TP327:,    Pin:1, Signal:STM_TX_TMS_RX, Orig_Signal:STM_TX-TMS_RX, Probed
TP326:,    Pin:1, Signal:HALO_BYPASS, Orig_Signal:HALO_BYPASS, Probed
TP325:,    Pin:1, Signal:NetR316_1, Orig_Signal:NetR316_1, Probed
TP324:,    Pin:1, Signal:DEBUG_RX, Orig_Signal:DEBUG_RX, Probed
TP323:,    Pin:1, Signal:DEBUG_TX, Orig_Signal:DEBUG_TX, Probed
TP322:,    Pin:1, Signal:NetQ301_G, Orig_Signal:NetQ301_G, NotProbed
TP321:,    Pin:1, Signal:LED2, Orig_Signal:LED2, NotProbed
TP320:,    Pin:1, Signal:NetLD302_CAT, Orig_Signal:NetLD302_CAT, Probed
TP319:,    Pin:1, Signal:WDI, Orig_Signal:WDI, NotProbed
TP318:,    Pin:1, Signal:NetQ302_G, Orig_Signal:NetQ302_G, NotProbed
TP317:,    Pin:1, Signal:NetLD301_CAT, Orig_Signal:NetLD301_CAT, Probed
TP316:,    Pin:1, Signal:LED1, Orig_Signal:LED1, NotProbed
TP315:,    Pin:1, Signal:SWCLK, Orig_Signal:SWCLK, NotProbed
TP301:,    Pin:1, Signal:NetC301_1, Orig_Signal:NetC301_1, NotProbed
TP207:,    Pin:1, Signal:PROX_SNS, Orig_Signal:PROX_SNS, Probed
TP206:,    Pin:1, Signal:NetD203_CAT, Orig_Signal:NetD203_CAT, NotProbed
TP204:,    Pin:1, Signal:NetD203_AN, Orig_Signal:NetD203_AN, NotProbed
TP203:,    Pin:1, Signal:NetD204_3, Orig_Signal:NetD204_3, NotProbed
TP104:,    Pin:1, Signal:NetP101_10, Orig_Signal:NetP101_10, Probed
R208:,    Pin:1, Signal:NetR201_1, Orig_Signal:NetR201_1, Probed
R208:,    Pin:2, Signal:3_3V, Orig_Signal:3.3V, Probed
C317:,    Pin:1, Signal:NetC309_1, Orig_Signal:NetC309_1, NotProbed
C317:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed
TP608:,    Pin:1, Signal:NetD601_K, Orig_Signal:NetD601_K, NotProbed
TP602:,    Pin:1, Signal:NetC603_2, Orig_Signal:NetC603_2, NotProbed
TP609:,    Pin:1, Signal:NetC603_1, Orig_Signal:NetC603_1, Probed
TP601:,    Pin:1, Signal:NetD601_A, Orig_Signal:NetD601_A, Probed
U602:,    Pin:1, Signal:NetC603_2, Orig_Signal:NetC603_2, NotProbed
U602:,    Pin:2, Signal:P12V, Orig_Signal:+12V, Probed
U602:,    Pin:3, Signal:NetC603_1, Orig_Signal:NetC603_1, Probed
U602:,    Pin:4, Signal:GND, Orig_Signal:GND, Probed
U602:,    Pin:5, Signal:UNCONNECTED_34, Orig_Signal:UNCONNECTED_34, NotProbed
U602:,    Pin:6, Signal:UNCONNECTED_35, Orig_Signal:UNCONNECTED_35, NotProbed
R505:,    Pin:1, Signal:L1_1, Orig_Signal:L1-1, Probed
R505:,    Pin:2, Signal:NetR505_2, Orig_Signal:NetR505_2, NotProbed
D602:,    Pin:1, Signal:NetC603_1, Orig_Signal:NetC603_1, Probed
D602:,    Pin:2, Signal:NetD601_K, Orig_Signal:NetD601_K, NotProbed
D601:,    Pin:1, Signal:NetD601_A, Orig_Signal:NetD601_A, Probed
D601:,    Pin:2, Signal:NetD601_K, Orig_Signal:NetD601_K, NotProbed
C605:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
C605:,    Pin:2, Signal:P12V, Orig_Signal:+12V, Probed
C504:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
C504:,    Pin:2, Signal:NetC504_2, Orig_Signal:NetC504_2, NotProbed
